WKT,cui,cueanexo,cue,anexo,sector,dom_edific,dom_establ,nombre_est,nombre_abr,telefono,email,codpost,web_megcba,nivmod,nivelmodal,tipest_abr,tipest,depfun,depfun_otr,de,comuna,barrio,area_progr,estado,point_x,point_y,Nivel
"MULTIPOINT ((-58.4136991013637 -34.6058385289936))","201841","20203600","202036","0",1,Gallo 238,Sarmiento 3401,Conservatorio de Música de la Ciudad de Buenos Aires,C de Música de la CBA,4865-9001,alumnos_ciudad@buenosaires.gob.ar,C1196,http://www.buenosaires.gob.ar/areas/cultura/dg_ens_art/?menu_id=334,SecCom - SNUCom - OSECom,Nivel Secundario Común - Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad Común,,No Corresponde - Cultura,,"3",2,5,ALMAGRO,08 - HOSP RAMOS MEJIA,"1",104494.735142,102647.848597,Secundario Común - Superior No Universitario Común - Otros Servicios Educativos de la modalidad Común
"MULTIPOINT ((-58.4694829169968 -34.640376780778))","200553","20034403","200344","3",1,Portela 734,Portela 734,Jardín de Infantes Nucleado C (EPCjs 05/11°) Herminia Brumana,JIN C-03 (05),4611-5740,dei_jinc10_de11@bue.edu.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",11,7,FLORES,06 - HOSP PIÑERO,"1",99378.0768963,98817.3769145,Inicial Común
"MULTIPOINT ((-58.4847289560425 -34.636092720729))","200549","20163804","201638","4",1,Cnel. Ramón L. Falcón 4126,Cnel. Ramón L. Falcón 4126,Jardín de Infantes Nucleado B (EPCjc 01/11°),JIN B-04 (01),4672-6954,dei_jinb17_de11@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",11,10,VELEZ SARSFIELD,06 - HOSP PIÑERO,"1",97980.0696637,99292.4356571,Inicial Común
"MULTIPOINT ((-58.4847289560425 -34.636092720729))","200549","20161800","201618","0",1,Cnel. Ramón L. Falcón 4126,Cnel. Ramón L. Falcón 4126,Esc. Primaria Común N° 01 José Alfredo Ferreira,EPjc 01,4672-1475,dep_epc1_de11@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",11,10,VELEZ SARSFIELD,06 - HOSP PIÑERO,"1",97980.0696637,99292.4356571,Primario Común
"MULTIPOINT ((-58.4053120443107 -34.5837204247813))","200015","20302710","203027","10",1,Avda. Gral. Las Heras 3086,Avda. Gral. Las Heras 3084,ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 03,CV Dan Juv 03,4805-7916,dea_ed300_de1@bue.edu.ar,C1425,http://www.buenosaires.gob.ar/areas/educacion/niveles/art/?menu_id=9765,OSECom,Otros Servicios Educativos de la modalidad Común,ESEA,Escuela Superior de Educación Artística,Dirección de Educación Artística,"1",1,2,RECOLETA,04 - HOSP FERNANDEZ,"1",105265.455281,105101.130307,Otros Servicios Educativos de la modalidad Común
"MULTIPOINT ((-58.4854704917339 -34.6358672043894))","200550","20163803","201638","3",1,Cnel. Ramón L. Falcón 4151,Cnel. Ramón L. Falcón 4151,Jardín de Infantes Nucleado B (EPCjc 02/11°),JIN B-03 (02),4672-6954,dei_jinb17_de11@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",11,10,VELEZ SARSFIELD,06 - HOSP PIÑERO,"1",97912.0693973,99317.4385277,Inicial Común
"MULTIPOINT ((-58.4854704917339 -34.6358672043894))","200550","20167600","201676","0",1,Cnel. Ramón L. Falcón 4151,Cnel. Ramón L. Falcón 4151,Esc. Primaria Común N° 02 Maximio S. Victoria,EPjc 02,4671-1241,dep_epc2_de11@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",11,10,VELEZ SARSFIELD,06 - HOSP PIÑERO,"1",97912.0693973,99317.4385277,Primario Común
"MULTIPOINT ((-58.4818065112056 -34.6346510447428))","200551","20163802","201638","2",1,Mariano Acosta 45,Mariano Acosta 45,Jardín de Infantes Nucleado B (EPCjc 03/11°),JIN B-02 (03),4672-6954,dei_jinb17_de11@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",11,10,VELEZ SARSFIELD,06 - HOSP PIÑERO,"1",98248.0109598,99452.4247093,Inicial Común
"MULTIPOINT ((-58.4818065112056 -34.6346510447428))","200551","20167700","201677","0",1,Mariano Acosta 45,Mariano Acosta 45,Esc. Primaria Común N° 03 Angela M. de Caviglia,EPjc 03,4671-2095,dep_epc3_de11@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",11,10,VELEZ SARSFIELD,06 - HOSP PIÑERO,"1",98248.0109598,99452.4247093,Primario Común
"MULTIPOINT ((-58.4575619709117 -34.6459299983883))","200552","20119400","201194","0",1,Avda. San Pedrito 1415,Avda. San Pedrito 1415 / 25,Jardín de Infantes Común N° 02/11°,JIC 02/11,4612-5308,dei_jic2_de11@bue.edu.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,"1",11,7,FLORES,06 - HOSP PIÑERO,"1",100471.072375,98201.3309496,Inicial Común
"MULTIPOINT ((-58.4571584849753 -34.6405755833235))","200554","20132600","201326","0",1,Varela 1040,Varela 1040,Esc. Primaria Común N° 06 Dr. Carlos Vaz Ferreira,EPjc 06,4631-5978/4631-5978,dep_epc6_de11@bue.edu.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",11,7,FLORES,06 - HOSP PIÑERO,"1",100508.098035,98795.3294113,Primario Común
"MULTIPOINT ((-58.4480878970824 -34.6385243978561))","200555","20044401","200444","1",1,Pumacahua 1247,Pumacahua 1247,Jardín de Infantes Nucleado D (EPCjs 07/11°) Sin Fronteras,JIN D-01 (07),4633-8485,jindede11@gmail.com,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",11,7,PARQUE CHACABUCO,06 - HOSP PIÑERO,"1",101339.807696,99022.7976034,Inicial Común
"MULTIPOINT ((-58.4800053545576 -34.6310727502071))","200586","20017700","200177","0",1,Joaquín V. González 180,Bacacay 3732,Jardín de Infantes Nucleado D (EPCjc 03/12°) [Sede],JIN D-00 (03),4674-3732,dei_jind3_de12@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",12,10,FLORESTA,01 - HOSP ALVAREZ,"1",98413.1015213,99849.41757,Inicial Común
"MULTIPOINT ((-58.4800053545576 -34.6310727502071))","200586","20019600","200196","0",1,Joaquín V. González 180,Joaquín V. González 180,Esc. Primaria Común N° 03 Emilio Giménez Zapiola,EPjc 03,4671-0194,dep_epc3_de12@bue.edu.ar /escuela03de12@yahoo.com.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",12,10,FLORESTA,01 - HOSP ALVAREZ,"1",98413.1015213,99849.41757,Primario Común
"MULTIPOINT ((-58.4800053545576 -34.6310727502071))","200586","20216500","202165","0",1,Joaquín V. González 180,Joaquín V. González 180,Centro Educativo Complementario de Idiomas Extranjeros N° 12,CECIE 12,4671-0194,dep_cecdie12_de12@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,OSECom,Otros Servicios Educativos de la modalidad Común,CECDIE,Centro Educativo Complementario de Idioma Extranjero,Dirección de Educación Primaria,"1",12,10,FLORESTA,01 - HOSP ALVAREZ,"1",98413.1015213,99849.41757,Otros Servicios Educativos de la modalidad Común
"MULTIPOINT ((-58.46705642515 -34.6161107917391))","200587","20022000","200220","0",1,Caracas 1249,Caracas 1249,Jardín de Infantes Nucleado A (EPCjs 04/12°) [Sede],JIN A-00 (04),4582-0957,dei_jina4_de12@bue.edu.ar / jinade12@yahoo.com.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",12,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,"1",99600.4446742,101509.368043,Inicial Común
"MULTIPOINT ((-58.46705642515 -34.6161107917391))","200587","20100500","201005","0",1,Caracas 1249,Caracas 1249,Esc. Primaria Común N° 04 Provincia de La Pampa,EPjs 04,4581-1874,dep_epc4_de12@bue.edu.ar/escuela4de12@gmail.com,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",12,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,"1",99600.4446742,101509.368043,Primario Común
"MULTIPOINT ((-58.46705642515 -34.6161107917391))","200587","20302706","203027","6",1,Caracas 1249,Caracas 1245,ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 05,CV Dan Juv 05,4581-1874,dea_ed300_de1@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/areas/educacion/niveles/art/?menu_id=9765,OSECom,Otros Servicios Educativos de la modalidad Común,ESEA,Escuela Superior de Educación Artística,Dirección de Educación Artística,"1",12,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,"1",99600.4446742,101509.368043,Otros Servicios Educativos de la modalidad Común
"MULTIPOINT ((-58.4679537689602 -34.6208161385717))","200588","20100700","201007","0",1,Gral. José Gervasio de Artigas 878,Gral. José Gervasio de Artigas 878,Esc. Primaria Común N° 05 República de El Salvador,EPjc 05,4611-5736,dep_epc5_de12@bue.edu.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",12,7,FLORES,01 - HOSP ALVAREZ,"1",99518.1708057,100987.371236,Primario Común
"MULTIPOINT ((-58.4731968774534 -34.607576240039))","200589","20093600","200936","0",1,Caracas 2057,Caracas 2057,Esc. Primaria Común N° 06 Dr. Alfredo L. Palacios,EPjs 06,4581-8527,dep_epc6_de12@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",12,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,"1",99037.1665361,102456.115533,Primario Común
"MULTIPOINT ((-58.4820392542656 -34.6119712982449))","200590","20147002","201470","2",1,San Blas 2962,San Blas 2962,Jardín de Infantes Nucleado B (EPCjs 07/12°),JIN B-02 (07),4583-8766,dei_jinb8_de12@bue.edu.ar /jinbde12@gmail.com,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",12,11,VILLA SANTA RITA,01 - HOSP ALVAREZ,"1",98226.1868546,101968.425611,Inicial Común
"MULTIPOINT ((-58.4820392542656 -34.6119712982449))","200590","20021900","200219","0",1,San Blas 2962,San Blas 2962,Esc. Primaria Común N° 07 Jorge Newbery,EPjs 07,4581-3098,dep_epc7_de12@bue.edu.ar / newberyesc712@yahoo.com.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",12,11,VILLA SANTA RITA,01 - HOSP ALVAREZ,"1",98226.1868546,101968.425611,Primario Común
"MULTIPOINT ((-58.4808082018923 -34.6155952401845))","200591","20147000","201470","0",1,Gral. César Díaz 3050,Gral. César Díaz 3050,Jardín de Infantes Nucleado B (EPCjc 08/12°) [Sede],JIN B-00 (08),4583-8766,jinbde12@gmail.com /dei_jinb8_de12@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",12,11,VILLA SANTA RITA,01 - HOSP ALVAREZ,"1",98339.1722143,101566.420843,Inicial Común
"MULTIPOINT ((-58.4808082018923 -34.6155952401845))","200591","20039900","200399","0",1,Gral. César Díaz 3050,Gral. César Díaz 3050,Esc. Primaria Común N° 08 Quintino Bocayuva,EPjc 08,4581-4016,dep_epc8_de12@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",12,11,VILLA SANTA RITA,01 - HOSP ALVAREZ,"1",98339.1722143,101566.420843,Primario Común
"MULTIPOINT ((-58.4780749882768 -34.6305682817051))","200592","20017701","200177","1",1,Bacacay 3542,Bacacay 3542,Jardín de Infantes Nucleado D (EPCjs 09/12°),JIN D-01 (09),4674-3732,dei_jind3_de12@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",12,10,FLORESTA,01 - HOSP ALVAREZ,"1",98590.1072829,99905.410148,Inicial Común
"MULTIPOINT ((-58.4780749882768 -34.6305682817051))","200592","20096100","200961","0",1,Bacacay 3542,Bacacay 3542,Esc. Primaria Común N° 09 Lic. Don Mauro Fernández,EPjs 09,4611-0873,dep_epc9_de12@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",12,10,FLORESTA,01 - HOSP ALVAREZ,"1",98590.1072829,99905.410148,Primario Común
"MULTIPOINT ((-58.4922154646924 -34.6214698739582))","200593","20119900","201199","0",1,Mercedes 1405,Mercedes 1465,Jardín de Infantes Común N° 03/12° Banderín,JIC 03/12,4568-9258,dei_jic3_de12@bue.edu.ar /jic3de12@yahoo.com.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,"1",12,10,FLORESTA,11 - HOSP VELEZ SARSFIELD,"1",97293.1244198,100914.464769,Inicial Común
"MULTIPOINT ((-58.4922154646924 -34.6214698739582))","200593","20151000","201510","0",1,Mercedes 1405,Mercedes 1405 / 65,Esc. Primaria Común N° 10 Cnel. de Marina Leonardo Rosales,EPjs 10,4566-3743,dep_epc10_de12@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",12,10,FLORESTA,11 - HOSP VELEZ SARSFIELD,"1",97293.1244198,100914.464769,Primario Común
"MULTIPOINT ((-58.4868399776754 -34.6221563216369))","200594","20120100","201201","0",1,Dr. Luis Beláustegui 3751,Dr. Luis Beláustegui 3751,Jardín de Infantes Nucleado C (EPCjs 11/12°)(Sede),JIN C-00 (11),4639-6818,dei_jinc16_de12@bue.edu.ar /jincjardin@yahoo.com.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,"1",12,10,FLORESTA,01 - HOSP ALVAREZ,"1",97786.1307994,100838.444036,Inicial Común
"MULTIPOINT ((-58.4868399776754 -34.6221563216369))","200594","20150900","201509","0",1,Dr. Luis Beláustegui 3751,Dr. Luis Beláustegui 3751,Esc. Primaria Común N° 11 Andrés Bello,EPjs 11,4568-4808,dep_epc11_de12@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",12,10,FLORESTA,01 - HOSP ALVAREZ,"1",97786.1307994,100838.444036,Primario Común
"MULTIPOINT ((-58.5224694181273 -34.6292640379423))","200817","20158900","201589","0",1,Bruselas 721,Bruselas 721,Esc. Primaria Común N° 16 John F. Kennedy,EPjs 16,4641-0486,dep_epc16_de18@bue.edu.ar,C1408,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",18,10,VERSALLES,11 - HOSP VELEZ SARSFIELD,"1",94519.0340759,100048.581103,Primario Común
"MULTIPOINT ((-58.4668419517687 -34.624719364592))","200595","20015500","200155","0",1,Avda. Avellaneda 2547,Avda. Avellaneda 2555,Jardín de Infantes Común N° 02/12° Jardín del Angel Gris,JIC 02/12,4637-7703,dei_jic2_de12@bue.edu.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,"1",12,7,FLORES,01 - HOSP ALVAREZ,"1",99620.1546038,100554.366957,Inicial Común
"MULTIPOINT ((-58.4668419517687 -34.624719364592))","200595","20119700","201197","0",1,Avda. Avellaneda 2547,Avda. Avellaneda 2547,Esc. Primaria Común N° 12 Provincia del Chaco,EPjs 12,4613-8342,dep_epc12_de12@bue.edu.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",12,7,FLORES,01 - HOSP ALVAREZ,"1",99620.1546038,100554.366957,Primario Común
"MULTIPOINT ((-58.4714566670609 -34.618854889678))","200618","20183800","201838","0",1,Condarco 1129,Avda. Gaona 3299,Jardín de Infantes Común N° 04/12° Convención Internacional sobre los Derechos del Niño,JIC 04/12,4582-0237,dei_jic4_de12@bue.edu.ar / jic4dedoce@gmail.com,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,"1",12,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,"1",99196.8971647,101204.922298,Inicial Común
"MULTIPOINT ((-58.4714566670609 -34.618854889678))","200618","20021600","200216","0",1,Condarco 1129,Condarco 1129,Esc. Primaria Común N° 14 Enrique G. Parker,EPjs 14,4581-7054,dep_epc14_de12@bue.edu.ar,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",12,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,"1",99196.8971647,101204.922298,Primario Común
"MULTIPOINT ((-58.4714566670609 -34.618854889678))","200618","20302816","203028","16",1,Condarco 1129,Condarco 1129,ESEA en Danza Ramicone Curso Vocacional de Folklore N° 19,CV Folk 19,4582-0237/4642,vocacionales2010@yahoo.com.ar,"1416",http://www.buenosaires.gob.ar/areas/educacion/niveles/art/?menu_id=9765,OSECom,Otros Servicios Educativos de la modalidad Común,ESEA,Escuela Superior de Educación Artística,Dirección de Educación Artística,"1",12,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,"1",99196.8971647,101204.922298,Otros Servicios Educativos de la modalidad Común
"MULTIPOINT ((-58.4385962113659 -34.6054505988727))","201314","20140400","201404","0",2,Avda. Angel Gallardo y Leopoldo Marechal,Avda. Angel Gallardo y Leopoldo Marechal,Inst. Privado Divino Rostro,I Priv Divino Rostro,4982-5277,divinorostrobsas@gmail.com,C1405,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",7,6,CABALLITO,03 - HOSP DURAND,"1",102210.992995,102691.711403,Inicial Común - Primario Común - Secundario Común
"MULTIPOINT ((-58.4412862967689 -34.5987592129329))","201309","20065300","200653","0",2,Acevedo 357,Acevedo 357,Colegio Buenos Aires S.R.L.,Col Buenos Aires,4854-3882,direccion@colegiobuenosaires.edu.ar / info@colegiobuenosaires.edu.ar,C1414,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",7,15,VILLA CRESPO,03 - HOSP DURAND,"1",101964.394298,103434.081428,Inicial Común - Primario Común - Secundario Común
"MULTIPOINT ((-58.4565043469688 -34.6129343708124))","201317","20126900","201269","0",2,Avda. Gaona 2068,Avda. Gaona 2068,Inst. Sta. Brígida,I Sta Brígida,4581-1268,sb@santabrigida.esc.edu.ar,C1416,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",7,6,CABALLITO,01 - HOSP ALVAREZ,"1",100568.263965,101861.738779,Inicial Común - Primario Común - Secundario Común
"MULTIPOINT ((-58.4460680484922 -34.5565894023609))","201513","20128000","201280","0",2,Migueletes 2039,Migueletes 2039,Inst. San Román,I San Román,4784-2585,sanroman@sanroman.esc.edu.ar,C1428,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",10,13,BELGRANO,07 - HOSP PIROVANO,"1",101526.509121,108112.287583,Inicial Común - Primario Común - Secundario Común
"MULTIPOINT ((-58.4684995618144 -34.5583919970759))","202615","20213400","202134","0",2,Conesa 2906,Conesa 2906,Inst. Superior Edusalud de Ciencias de la Salud,I Sup Edusalud,4542-2323/2424 INT 5,edusalud@edusalud.org.ar,C1429,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,SNUCom,Nivel Superior No Universitario Común,IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",10,13,BELGRANO,07 - HOSP PIROVANO,"1",99467.7175913,107912.427135,Superior No Universitario Común
"MULTIPOINT ((-58.4526365816986 -34.6577515634212))","202388","20295000","202950","0",1,Avda. Riestra 3300,Avda. Riestra 3300,Jardín Maternal N°15/19°,JM 15/19,4919-8760,dei_jm15_de19@bue.edu.ar,C1437,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JM,Jardín Maternal,Dirección de Educación Inicial,"1",19,8,VILLA SOLDATI,06 - HOSP PIÑERO,"1",100922.518311,96889.8511971,Inicial Común
"MULTIPOINT ((-58.398636574635 -34.6061537560635))","200013","20057800","200578","0",1,Sarmiento 2250,Sarmiento 2250,Esc. Primaria Común N° 14 Cornelio Saavedra,EPjc 14,4951-0834,dep_epc14_de1@bue.edu.ar /escpri14de1@gmail.com,C1044,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",1,3,BALVANERA,08 - HOSP RAMOS MEJIA,"1",105876.362671,102612.104376,Primario Común
"MULTIPOINT ((-58.3922388168976 -34.5901862578457))","200001","20116000","201160","0",1,Ayacucho 1680,Ayacucho 1680,Esc. Primaria Común N° 01 Juan José Castelli,EPjc 01,4803-9149,dep_epc1_de1@bue.edu.ar /escpri1de1@gmail.com,C1112,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",1,2,RECOLETA,04 - HOSP FERNANDEZ,"1",106464.448517,104383.07984,Primario Común
"MULTIPOINT ((-58.4783051832047 -34.5438512131161))","201472","20120900","201209","0",2,Arias 2915,Arias 2915,Inst. Divina Providencia,I Divina Providencia,4702-8270,info@idprovidencia.com.ar,C1429,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",10,12,SAAVEDRA,07 - HOSP PIROVANO,"1",98567.5109761,109525.411937,Inicial Común - Primario Común - Secundario Común
"MULTIPOINT ((-58.4729299625815 -34.562426267741))","201529","20056000","200560","0",2,Roque Pérez 2786,Roque Pérez 2786,Inst. Ntra. Sra. del Carmen,I Ntra Sra del Carmen,5263-0697,carmenfic@insc.org.ar,C1430,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",10,12,COGHLAN,07 - HOSP PIROVANO,"1",99061.1418622,107464.852847,Inicial Común - Primario Común - Secundario Común
"MULTIPOINT ((-58.4790139639322 -34.5586381068282))","201509","20013800","200138","0",2,Manuela Pedraza 3850,Manuela Pedraza 3850,Inst. Sta. Clara de Asís,I Sta Clara de Asís,4541-9911,primaria@isca.edu.ar/secundaria@isca.edu.ar/rectoria@isca.edu.ar,C1430,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",10,12,COGHLAN,07 - HOSP PIROVANO,"1",98502.7128386,107885.01931,Inicial Común - Primario Común - Secundario Común
"MULTIPOINT ((-58.4622671960066 -34.5692339770825))","201488","20151400","201514","0",2,Cap. Gral. Ramón Freire 1824,Cap. Gral. Ramón Freire 1824,Inst. Pestalozzi,I Pestalozzi,4555-3688,info@pestalozzi.edu.ar,C1428,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",10,13,BELGRANO,07 - HOSP PIROVANO,"1",100039.717388,106709.686054,Inicial Común - Primario Común - Secundario Común
